Model,R2_train_mean,R2_train_std,R2_test_mean,R2_test_std,MAE_train_mean,MAE_train_std,MAE_test_mean,MAE_test_std,MSE_train_mean,MSE_train_std,MSE_test_mean,MSE_test_std
Linear Regression,0.6899549173353743,0.01573045736552776,0.4005115293657845,0.41146949850058007,231.18843012842703,4.390541193539777,257.9703020217495,21.359860664828123,87453.915116696,3814.8840232656107,165924.26055847292,121239.03853595986
Ridge Regression,0.6751057983814384,0.013676601597882539,0.47225025667570597,0.2613174710447084,239.80608413695518,4.050389520607054,261.9402321676472,16.87473151106746,91642.69709370995,3083.6583432044126,145105.439671435,78064.91161094917
Lasso Regression,0.6898840062842324,0.01572962317142673,0.4100247314216732,0.39411696457636514,231.3626723174813,4.523035098855282,257.80131758867833,21.278228750913286,87473.91999185554,3814.4065469278416,163199.33298951678,116250.56518155446
Elastic Net Regression,0.6176614371995959,0.013312694613373035,0.5520691310678364,0.03882024087463701,264.44549027805476,1.7499558413426717,276.3799409481852,9.850980914101072,107830.2408382995,1923.4856971975269,121250.95620632518,8457.463297390606
SVR,0.03973651713093429,0.0042582791454195525,-0.03166010405892341,0.07388498228703586,420.69313569205497,8.26434652172406,431.97796413275563,34.98771412611118,271003.754472146,5922.679775547408,280938.22912411124,33346.24280649285
NuSVR,0.02934372136196455,0.00416876706506568,-0.042245640506275106,0.05707613936738835,424.49225636517167,8.59178115003884,435.40720992160186,32.057181346018616,273942.07661242795,6218.235856595364,283586.94396659976,28669.026435741165
Linear SVR,-1.9408218603581031,0.07496419726958163,-2.086677799348304,0.5273831911235105,775.2183039099143,19.728282633140612,782.1320289310149,99.31728742116285,830133.9811260396,32376.09107102219,842583.2947385674,177816.0186156734
Decision Tree Regression,0.9910085725288823,0.0035943955531807397,0.6203366476124577,0.10664668837918552,9.825077637690777,2.096324888295473,212.73109121909633,32.68429359832805,2532.201320946693,997.8000733419757,102321.59078459791,26497.78701685719
K-Nearest Neighbors Regression,0.776527215539212,0.0048061751061265895,0.5808341588427007,0.06025809538420351,189.73808387524883,3.6551677111144363,252.43255924978683,14.786628723819344,63052.87348141845,1336.996175926275,113892.1255321739,17701.47378953873
Kernel Ridge Regression,0.6548928947899286,0.012963714969697135,0.38705588533156554,0.39327798436924993,250.08464054052902,3.7310949781437737,274.72958278379065,21.57932665146445,97347.49638347435,2843.5106779137755,169336.40763401584,116199.03756522018
MLP Regression,0.4635223657958634,0.015838032036834832,0.3578810168065708,0.1601435719674163,302.3386412937747,3.9289128941894074,319.4259271270531,23.619236430925472,151414.87729973366,5855.356957702314,174972.87841427626,48817.030661219826
Passive Aggressive Regression,0.6407327339263013,0.015034189361744063,0.4849907817680711,0.1913766773728611,244.82020267331623,6.0000993922999974,270.6169459621594,15.804096128362014,101342.67928464574,3509.8875332750636,140810.75132746724,57581.97063122637
RANSAC Regression,-4.222030930208403,5.447573960002348,-2.210014383731937,2.9325569672995617,438.5988859757008,168.98397131124713,433.9835316608302,114.55200304780486,1476112.7111996033,1556750.2590657624,884972.4893885826,849586.8634545847
Huber Regression,0.6832863907842934,0.016888289574560563,0.07966996733315741,1.045608189894137,227.59134001512524,4.200671347492592,264.7706414682917,32.4177413839268,89332.62027329227,4104.982170582464,258079.15755537766,303331.15691773605
Tweedie Regression,0.5165967998729737,0.013891179485836078,0.46458458927092616,0.04803097889405844,289.306866735453,3.0838784631156493,294.8792626489295,8.297081564600473,136348.9776666853,1810.9668037742695,145206.8925581606,14146.268877470025
Poisson Regression,0.6997385556367339,0.014606353367641305,0.6365459863493923,0.0559600419093554,228.53322684975993,3.846067078558839,242.77536289021904,15.523237742936438,84670.44604604082,2880.4513266106987,97994.62906990616,11548.056500239552
Theil-Sen Regression,0.10690413608925486,0.21947061686553118,-0.27393102948255504,1.3996803573773868,287.7521181127196,9.594864643643687,310.43305284390755,33.81426558093491,252246.260814774,62730.98366202185,356462.8788850423,406414.5267447742
Deep Neural Network Regression,0.9833406606018686,0.004117125570856868,0.7376255052198725,0.046772814143153416,39.048720810363804,2.9225727998095703,175.8162243457869,13.886544483606482,4695.983530965897,1135.347754638444,70668.34560276121,9912.075114528292
